"Author, Last","Author, First",Series,Series #,Title,Pbk?,ISBN / LCCC#,Comments
Abé,Shana,,,Dream Thief,✓,978-0-553-58805-7,
Abé,Shana,,,Smoke Thief,✓,0-553-58804-4,
Abercrombie,Joe,First Law,1,Blade Itself,✓,978-1-59102-594-8,
Abercrombie,Joe,First Law,2,Before They are Hanged,✓,978-1-59102-641-9,
Abercrombie,Joe,First Law,3,Last Argument of Kings,✓,978-1-59102-690-7,
Adams,Douglas,,,Hitchhiker's Guide to the Galaxy,,,
Adams,Richard,,,Watership Down,✓,0-380-00293-0,
Akamatsu,Ken,Negima! Magister Negi Magi,1,Don't Touch That Wand!,✓,0-345-47046-X,
Akamatsu,Ken,Negima! Magister Negi Magi,3,Blood Feud With A Vampire,✓,0-345-47180-6,
Albom,Mitch,,,Tuesdays With Morrie,,0-385-48451-8,
Alderton,David,D K Pockets,,Cats,✓,1-56458-886-6,
Alexander ,Lloyd,,,Time Cat,✓,0-14-037827-8,
Allen,Paula Gunn,,,Voice of the Turtle: American Indian Literature 1900-1970,✓,0-345-39505-0,
Andersen,Hans Christian,,,Andersen's Fairy Tales,,,
Aristotle,,,,Aristotle Selections,✓,0-684-14699-1,
Arlidge,M.J.,,,Eeny Meeny,✓,978-1-101-99004-9,Author Autographed
Armstrong,William H.,,,Sounder,✓,0-439-58575-9,
Asimov,Isaac,,,"I, Robot",✓,,
Austen,Jane,,,Emma,,0-7607-0165-2,
Austen,Jane,,,Pride and Prejudice,✓,0-393-96294-6,
Averill,Esther,,,Fire Cat,✓,0-06-444038-9,
Avi,,,,Good Dog,✓,0-689-83825-5,
Bagilo,Ben M.,Animal Ark,1,Kittens in the Kitchen,✓,0-590-18749-X,
Bagilo,Ben M.,Animal Ark,2,Pony on the Porch,✓,0-590-18750-3,
Bagilo,Ben M.,Animal Ark,3,Puppies in the Pantry,✓,0-590-18751-1,
Bagilo,Ben M.,Animal Ark,4,Goat in the Garden,✓,0-590-18752-X,
Bagilo,Ben M.,Animal Ark,5,Hedgehogs in the Hall,✓,0-590-37684-5,
Bagilo,Ben M.,Animal Ark,7,Sheepdog in the Snow,✓,0-590-18757-0,
Bagilo,Ben M.,Animal Ark,8,Cub in the Cupboard,✓,0-590-18755-4,
Bagilo,Ben M.,Animal Ark,9,Piglet in a Playpen,✓,0-590-18756-2,
Bagilo,Ben M.,Animal Ark,10,Ponies at the Point,✓,0-590-66231-7,
Bagilo,Ben M.,Animal Ark,11,Owl in the Office,✓,0-439-08416-4,
Bagilo,Ben M.,Animal Ark,12,Lamb in the Laundry,✓,0-439-08642-6,
Bagilo,Ben M.,Animal Ark,13,Kitten in the Cold,✓,0-439-09698-7,
Bagilo,Ben M.,Animal Ark,14,Goose on the Loose,✓,0-439-09699-5,
Bagilo,Ben M.,Animal Ark,15,Bunnies in the Bathroom,✓,0-439-09700-2,
Bagilo,Ben M.,Animal Ark,16,Hamster in a Handbasket,✓,0-439-09701-0,
Bagilo,Ben M.,Animal Ark,17,Squirrels in the School,✓,0-439-09702-9,
Bagilo,Ben M.,Animal Ark,18,Fox in the Frost,✓,0-439-23017-9,
Bagilo,Ben M.,Animal Ark,19,Guiena Pig in the Garage,✓,0-439-23018-7,
Bagilo,Ben M.,Animal Ark,20,Shetland in the Shed,✓,0-439-23019-5,
Bagilo,Ben M.,Animal Ark,21,Raccoons on the Roof,✓,0-439-23020-9,
Bagilo,Ben M.,Animal Ark,22,Dolphin in the Deep,✓,0-439-23021-7,
Bagilo,Ben M.,Animal Ark,23,Bears in the Barn,✓,0-439-23022-5,
Bagilo,Ben M.,Animal Ark,24,Foals in the Field,✓,0-439-34385-2,
Bagilo,Ben M.,Animal Ark,25,Dog at the Door,✓,0-439-34386-0,
Bagilo,Ben M.,Animal Ark,26,Horse in the House,✓,0-439-34387-9,
Bagilo,Ben M.,Animal Ark,27,Pony in a Package,✓,0-439-34388-7,
Bagilo,Ben M.,Animal Ark,28,Puppy in a Puddle,✓,0-439-34389-5,
Bagilo,Ben M.,Animal Ark,29,Tabby in the Tub,✓,0-439-34390-9,
Bagilo,Ben M.,Animal Ark,30,Pup at the Palace,✓,0-439-34391-7,
Bagilo,Ben M.,Animal Ark,31,Mare in the Meadow,✓,0-439-34392-5,
Bagilo,Ben M.,Animal Ark,32,Cats at the Campground,✓,0-439-34393-3,
Bagilo,Ben M.,Animal Ark,33,Hound at the Hospital,✓,0-439-44891-3,
Bagilo,Ben M.,Animal Ark,34,Terrier in the Tinsel,✓,0-439-44892-1,
Bagilo,Ben M.,Animal Ark,35,Hamster in the Holly,✓,0-439-44893-X,
Bagilo,Ben M.,Animal Ark,36,Husky in a Hut,✓,0-439-44894-8,
Bagilo,Ben M.,Animal Ark,37,Polars on the Path,✓,0-439-44895-6,
Bagilo,Ben M.,Animal Ark,38,Labrador on the Lawn,✓,0-439-68488-9,
Bagilo,Ben M.,Animal Ark Hauntings,1,Stallion in the Storm,✓,0-439-34126-4,
Bagilo,Ben M.,Animal Ark Hauntings,2,Cat in the Crypt,✓,0-439-34407-7,
Bagilo,Ben M.,Animal Ark Hauntings,3,Dog in the Dungeon,✓,0-439-34408-5,
Bagilo,Ben M.,Animal Ark Hauntings,4,Colt in the Cave,✓,0-439-34413-1,
Bagilo,Ben M.,Animal Ark Hauntings,5,Foal in the Fog,✓,0-439-34415-8,
Bagilo,Ben M.,Animal Ark Hauntings,6,Hound on the Heath,✓,0-439-44897-2,
Bagilo,Ben M.,Animal Ark Hauntings,7,Wolf at the Window,✓,0-439-44896-4,
Bagilo,Ben M.,Animal Ark Hauntings,8,Cats in the Castle,✓,0-439-44898-0,
Bagilo,Ben M.,Animal Ark Pets,1,Puppy Puzzle,✓,0-439-05158-4,
Bagilo,Ben M.,Animal Ark Pets,2,Kitten Crowd,✓,0-439-05159-2,
Bagilo,Ben M.,Animal Ark Pets,6,Chick Challenge,✓,0-439-05163-0,
Bagilo,Ben M.,Animal Ark Pets,8,Guinea Pig Gang,✓,0-439-05165-7,
Bagilo,Ben M.,Animal Ark Pets,10,Duckling Diary,✓,0-439-05167-3,
Bagilo,Ben M.,Animal Ark Pets,12,Doggy Dare,✓,0-439-05169-X,
Bagilo,Ben M.,Animal Ark Pets,13,Cat Crazy,✓,0-439-05170-3,
Bagilo,Ben M.,Animal Ark Short Stories,,Kitten That Won First Prize & Others,✓,0-439-09703-7,
Baker,E. D.,Frog Princess,1,Frog Princess,✓,1-58234-923-1,
Baker,E. D.,Frog Princess,2,Dragon's Breath,,1-58234-858-8,
Baker,E. D.,Frog Princess,3,Once Upon a Curse,,1-58234-892-8,
Baker,Richard,Last Mythal,1,Forsaken House,✓,0-7869-3260-0,
Baker,Richard,Last Mythal,3,Final Gate,✓,978-0-7869-4002-8,
Banks,Carolyn,,,Horse to Die For,✓,0-449-14969-2,
Barrie,J. M.,,,Peter Pan,✓,0-694-01318-8,
Barwick,Dee Danner,,,Treasury of Days: Words of Gold,,0-8378-1803-6,
Bates,H. E.,,,Purple Plain,,,
Bathroom Reader's Institute,,,,Uncle John's Great Big Bathroom Reader,✓,1-879682-69-9,
Batten,Mary,,,Baby Wolf,✓,0-448-41645-X,
Baum,L. Frank,,,Wizard of Oz,✓,0-694-01319-6,
Baxter,Stephen,Flood,1,Flood,✓,978-0-451-46328-9,
Baxter,Stephen,Flood,2,Ark,✓,978-0-451-46359-3,
Beagle,Peter S.,,,Last Unicorn,✓,0-451-45052-3,
Beatty,Hetty Burlingame,,,Blitz,✓,,
Behrendt,Greg,,,He's Just Not That Into You,,0-689-87474-X,
Benton,Jim,"Dear Dumb Diary,",,Let's Pretend This Never Happened,✓,0-439-62904-7,Taped
Berman,Steve,,,Bad Seeds: Evil Progeny,✓,978-1-60701-393-8,Short story collection by different authors
Berman,Steve,,,Handsome Devil,✓,978-1-60701-425-6,Short story collection by different authors
Berman,Steve,,,Shades of Blue & Gray,✓,978-1-60701-403-4,Short story collection by different authors
Bishop,Anne,Black Jewels,1 - 3,Black Jewels Trilogy,✓,978-0-451-52901-5,
Bishop,Anne,Ephemera,1,Sebastian,,0-451-46073-1,
Bishop,Anne,Ephemera,2,Belladonna,,978-0-451-46126-1,
Bishop,Anne,,,House of Gaian,✓,0-451-45942-3,
Blume,Judy,Fudge,1,Tales of a Fourth Grade Nothing,✓,0-439-55986-3,
Blume,Judy,Fudge,2,Superfudge,✓,0-439-55894-7,
Blume,Judy,Fudge,3,Fudge-A-Mania,✓,0-439-55985-5,
Blume,Judy,Fudge,4,Double Fudge,✓,0-439-58549-X,
Bowden,Mark,,,Black Hawk Down,✓,0-451-20514-6,
Bradbury,Ray,,,Fahrenheit 451,✓,978-1-4516-7331-9,
Bradbury,Ray,,,Something Wicked This Way Comes,✓,978-0-380-72940-7,
Bradley,Marion Zimmer,,,Mists of Avalon,✓,0-345-35049-9,
Brennan,Caitlin,,,Mountain's Call,✓,0-373-80210-2,
Brett,Peter V.,Demon Cycle,1,Warded Man,✓,978-0-345-51870-5,
Brett,Peter V.,Demon Cycle,2,Desert Spear,✓,978-0-345-52414-0,
Brett,Peter V.,Demon Cycle,3,Daylight War,✓,978-0-345-52415-7,
Brink,Carol Ryrie,,,Caddie Woodlawn,✓,0-689-71370-3,
Britain,Kristen,Green Rider,1,Green Rider,✓,978-0-88677-858-3,
Britain,Kristen,Green Rider,2,First Rider's Call,✓,978-0-7564-0193-1,
Britain,Kristen,Green Rider,3,High King's Tomb,✓,978-0-7564-0588-5,
Britain,Kristen,Green Rider,4,Blackveil,✓,978-0-7564-0779-7,
Britain,Kristen,Green Rider,5,Mirror Sight,,978-0-7564-0879-4,
Brooks,Terry,,,Knight of the Word,,0-345-37963-2,
Brookshear,J. Glenn,Computer Science,,Computer Science: An Overview,✓,978-0-13-256903-3,
Brust,Steven,Vlad Taltos,1 - 3,Book of Jhereg,✓,0-441-00615-9,
Brust,Steven,Vlad Taltos,4 - 5,Book of Taltos,✓,978-0-441-00894-0,
Brust,Steven,Vlad Taltos,6 - 7,Book of Athyra,✓,978-0-441-01010-3,
Bryant,Bonnie,Saddle Club,1,Horse Crazy,✓,0-553-15594-6,
Bryant,Bonnie,Saddle Club,2,Horse Shy,✓,0-553-15611-X,
Bryant,Bonnie,Saddle Club,3,Horse Sense,✓,0-553-15626-8,
Bryant,Bonnie,Saddle Club,4,Horse Power,✓,0-553-15637-3,
Bryant,Bonnie,Saddle Club,33,High Horse,✓,0-553-48147-9,
Burgess,Thornton W.,,,The Adventures of Reddy Fox,,,
Burnett,Frances Hodgson,,,Little Princess,✓,0-439-11471-3,
Burnett,Frances Hodgson,,,Secret Garden,,0-06-095389-6,
Caffery,Nancy,,,Lost Pony,✓,,Taped
Calhoun,Mary,,,Cross-Country Cat,,0-688-32168-0,
Campbell,Alan,Deepgate,1,Scar Night,✓,978-0-553-58931-3,
Campbell,Alan,Deepgate,2,Iron Angel,,978-0-553-38417-8,
Campbell,Joanna,,,Thoroughbred,✓,0-553-20601-X,
Canavan,Trudi,Kyralia: 1 Black Magician,1,Magicians' Guild,✓,978-0-06-057528-1,
Canavan,Trudi,Kyralia: 1 Black Magician,2,Novice,✓,978-0-06-057529-8,
Canavan,Trudi,Kyralia: 1 Black Magician,3,High Lord,✓,978-0-06-057530-4,
Canavan,Trudi,Kyralia: 2,1,Magician's Apprentice,✓,978-0-316-03787-7,
Canavan,Trudi,Kyralia: 3 Traitor Spy,1,Ambassador's Mission,✓,978-0-316-03781-5,
Canavan,Trudi,Kyralia: 3 Traitor Spy,2,Rogue,✓,978-0-316-03784-6,
Canavan,Trudi,Kyralia: 3 Traitor Spy,3,Traitor Queen,✓,978-0-316-03790-7,
Canfield,Jack,Chicken Soup,,Chicken Soup for the Teenage Soul 4,✓,0-7573-0233-5,
Capote,Truman,,,In Cold Blood,,0-679-60023-X,
Carey,Lisa,,,Mermaids Singing,✓,0-380-79960-X,
Carroll,Lewis,,,Alice's Adventures in Wonderland & Through the Looking-Glass,✓,,
Cashore,Kristin,Graceling: 1 Prequel,1,Fire,✓,978-0-14-241591-7,
Cashore,Kristin,Graceling: 2 Main,1,Graceling,✓,978-0-547-25830-0,
Cashore,Kristin,Graceling: 2 Main,2,Bitterblue,✓,978-0-14-242601-2,
Castero,Adam-Troy,,,Her Husband's Hands and Other Stories,✓,978-1-60701-408-9,Short story collection
Castiglione,Baldesar,,,Book of the Courtier,✓,59-12883,
Caulfield,Genevieve,,,Kingdom Within,,59-13279,
Cellini,Benvenuto,Works of...,,Works of Cellini,,,
Chambless-Rigie,Jane,,,Three Little Kittens,,0-307-03946-3,
Chance,Karen,Cassie Palmer,1,Touch the Dark,✓,0-451-46093-6,
Chance,Karen,Cassie Palmer,2,Claimed by Shadow,✓,978-0-451-46152-0,
Chance,Karen,Cassie Palmer,3,Embrace the Night,✓,978-0-451-46199-5,
Chance,Karen,Cassie Palmer,4,Curse the Dawn,✓,978-0-451-41270-6,
Chandler,David,Ancient Blades,1,Den of Thieves,,978-1-61129-915-1,
Chapman,Stephen J.,Electric Engineering,,Electric Machinery Fundamentals,,978-0-07-352954-7,
Chekhov,Anton,Works of...,,Works of Chekhov,,,
Cherryh,C. J.,Faded Sun,1 - 3,Faded Sun Trilogy,✓,0-88677-869-7,
Cherryh,C.J.,,,Fortress in the Eye of Time,,0-06-109295-9,
