"Author, Last","Author, First",Series,Series #,Title,Pbk?,ISBN / LCCC#,Comments
Adams,Bryan,,,Spirit: Stallion of the Cimarron - Music,✓,1-57560-592-9,
Aristotle,,,,Politics & Poetics,,,
Balzac,Honoré De,,,Droll Stories,,,
Browning,Elizabeth Barrett,,,Sonnets from the Portuguese,,,
Bulfinch,Thomas,,,Bulfinch's Mythology,,,
Burroughs,Edgar Rice,,,Tarzan Lord of the Jungle,,,
Butler,Samuel,,,Erewhon,,,
Carleton,Will,,,Farm Legends,,,
Cobban,J. Maclaren,,,King of Andaman,,,
Collins,Wilkie,,,Woman in White,,,
Crichton,Michael,,,Pirate Latitudes,✓,978-0-06-TK,ARC?
Dandelion Library,,Children's Stories,1,Andersen's Fairy Tales & Johnny Crow's Garden,,,
Dandelion Library,,Children's Stories,2,Grimm's Fairy Tales & Babar the King,,,
Dandelion Library,,Children's Stories,3,Tale of Peter Rabbit & Tavels of Babar,,,
Dandelion Library,,Children's Stories,4,Heidi & Story of Babar,,,
Dandelion Library,,Children's Stories,5,Alice in Wonderland & Peter Pan,,,
Dandelion Library,,Children's Stories,6,Robin Hood & Pinocchio,,,
Dandelion Library,,Children's Stories,7,I'm Tired of Lions & Flip,,,
Dandelion Library,,Children's Stories,8,"Petunia, I Love You & Trubloff",,,
Dandelion Library,,Children's Stories,9,Treasury of Nursery Rhymes & Tom Thumb and Other Favorites,,,
Darwin,Charles,,,Descent of Man,,,
Darwin,Charles,,,Origin of Species,,,2 owned - different editions
Dickey,Thomas,,,Kings of El Dorado,,0-86706-082-4,
Doughty,Charles M.,,,Travels in Arabia Deserta,,,
Dumas,Alexandre,Count of Monte Cristo,1,Vol. I.,,,
Dumas,Alexandre,Count of Monte Cristo,2,Vol. II.,,,
Fast,Howard,,,Last Frontier,,,
Fortney,Bill,,,Nature of North America,,0-8174-4994-9,
Goodman,Jack,,,Fireside Book of Dog Stories,,,Short story collection by different authors
Haines,T. L.,,,Royal Path of Life,,,
Heal,Edith,,,Robin Hood,,,
Holmes,Oliver W.,,,Autocrat of the Breakfast Table,,,
Homer,,,,Illiad of Homer,,,
Howell,Clinton T.,,,Better Than Gold,,0-8407-5000-5,
Hugo,Victor,,,Hunchback of Notre Dame,,,
Johnson,Samuel W.,,,As the Years Rolled By,,,Author Autographed
Konietzko,Bryan,Avatar: the Last Airbender,2,Promise,,978-1-61655-074-5,
Konietzko,Bryan,Avatar: the Last Airbender,3,Search,,978-1-61655-226-8,
Konietzko,Bryan,Avatar: the Last Airbender,4,Rift,,978-1-61655-550-4,
Legge,James,,,Chinese Classics,,,Translations of Confucius and Mencius
London,Jack,,,Call of the Wild,,,
London,Jack,,,Sea-Wolf,,,
Lowell,James Russell,,,Poetical Works of James Russell Lowell,,,Leatherbound
Lytton,Lord,,,Last Days of Pompeii,,,
Macfarlan,Allan A.,,,American Indian Legends,,,
McClintock,William D.,,,Song and Legend from the Middle Ages,,,
Mencken,H. L.,,,Book of Burlesques,,,
Milne,A. A.,,,When We Were Very Young,,,
Muench,David,,,Colorado,,0-912856-42-4,
Muench,David,,,Nature's America,,0-916567-01-X,
Nash,Leslie Ann,,,Observations From the Bar,,,
O'Brien,Jack,,,Silver Chief to the Rescue,,,
Osgood,Charles G.,,,Eleven British Writers: Beowulf to Arnold,,,
Paine,Thomas,,,Rights of Man,,,
Pendleton,Louis,,,King Tom and the Runaways,,,
Polo,Marco,,,Travels of Marco Polo,,,
Pratt,Mara L.,,,Stories of China,,,
Rappaport,Jill,,,"People We Know, Horses They Love",,1-57954-857-1,
Robinson,Victor,,,Story of Medicine,,,
Scott,Sir Walter,,,Poetical Works of Sir Walter Scott,,,
Severy,Merle,,,Age of Chivalry,,79-79765,
Shakespeare,William,King Henry IV.,1,Part I.,,,
Shakespeare,William,King Henry IV.,2,Part II.,,,
Shakespeare,William,,,Julius Caesar,,,
Shakespeare,William,,,Macbeth,,,
Shakespeare,William,,,Sonnets of William Shakespeare,,,
Soddard,Charles Augustus,,,Across Russia,,,
Thompson,Ames,Jewel Series,5,Adventure Boys and the Island of Sapphires,,,
Tiffany,O. H.,,,Gems for the Fireside,,,
Tolstoy,Leo,,,War and Peace,,,
Tourgée,Albion Winegar,,,Fools Errand and Invisible Empire,,,
US Military,,,,Battle Stations! Your Navy in Action,,,
Verne,Jules,,,Twenty Thousand Leagues Under the Sea,,0-88101-085-5,
Waley,Arthur,,,Translations from the Chinese,,,"2 owned - one copy in Steamboat, another home."
Walker,Abbie Phillips,,,Sandman Twilight Stories,,,
Wilson,Gilbert L.,,,Myths of the Red Children,,,
